medicine_name,symptoms,disease_category,prescription_required,symptom_description,search_text
Paracetamol,fever,General,False,fever,paracetamol fever
Paracetamol,headache,General,False,headache,paracetamol headache
Paracetamol,body pain,General,False,body pain,paracetamol body pain
Paracetamol,fatigue,General,False,fatigue,paracetamol fatigue
Paracetamol,"fever,headache",General,False,fever headache,paracetamol fever headache
Paracetamol,"fever,body pain",General,False,fever body pain,paracetamol fever body pain
Paracetamol,"fever,fatigue",General,False,fever fatigue,paracetamol fever fatigue
Paracetamol,"headache,body pain",General,False,headache body pain,paracetamol headache body pain
Paracetamol,"headache,fatigue",General,False,headache fatigue,paracetamol headache fatigue
Paracetamol,"body pain,fatigue",General,False,body pain fatigue,paracetamol body pain fatigue
Paracetamol,"fever,headache,body pain",General,False,fever headache body pain,paracetamol fever headache body pain
Paracetamol,"fever,headache,fatigue",General,False,fever headache fatigue,paracetamol fever headache fatigue
Paracetamol,"fever,body pain,fatigue",General,False,fever body pain fatigue,paracetamol fever body pain fatigue
Paracetamol,"headache,body pain,fatigue",General,False,headache body pain fatigue,paracetamol headache body pain fatigue
Paracetamol,"fever,headache,body pain,fatigue",General,False,fever headache body pain fatigue,paracetamol fever headache body pain fatigue
Dolo 650,fever,General,False,fever,dolo 650 fever
Dolo 650,headache,General,False,headache,dolo 650 headache
Dolo 650,body pain,General,False,body pain,dolo 650 body pain
Dolo 650,fatigue,General,False,fatigue,dolo 650 fatigue
Dolo 650,"fever,headache",General,False,fever headache,dolo 650 fever headache
Dolo 650,"fever,body pain",General,False,fever body pain,dolo 650 fever body pain
Dolo 650,"fever,fatigue",General,False,fever fatigue,dolo 650 fever fatigue
Dolo 650,"headache,body pain",General,False,headache body pain,dolo 650 headache body pain
Dolo 650,"headache,fatigue",General,False,headache fatigue,dolo 650 headache fatigue
Dolo 650,"body pain,fatigue",General,False,body pain fatigue,dolo 650 body pain fatigue
Dolo 650,"fever,headache,body pain",General,False,fever headache body pain,dolo 650 fever headache body pain
Dolo 650,"fever,headache,fatigue",General,False,fever headache fatigue,dolo 650 fever headache fatigue
Dolo 650,"fever,body pain,fatigue",General,False,fever body pain fatigue,dolo 650 fever body pain fatigue
Dolo 650,"headache,body pain,fatigue",General,False,headache body pain fatigue,dolo 650 headache body pain fatigue
Dolo 650,"fever,headache,body pain,fatigue",General,False,fever headache body pain fatigue,dolo 650 fever headache body pain fatigue
Crocin,fever,General,False,fever,crocin fever
Crocin,headache,General,False,headache,crocin headache
Crocin,body pain,General,False,body pain,crocin body pain
Crocin,fatigue,General,False,fatigue,crocin fatigue
Crocin,"fever,headache",General,False,fever headache,crocin fever headache
Crocin,"fever,body pain",General,False,fever body pain,crocin fever body pain
Crocin,"fever,fatigue",General,False,fever fatigue,crocin fever fatigue
Crocin,"headache,body pain",General,False,headache body pain,crocin headache body pain
Crocin,"headache,fatigue",General,False,headache fatigue,crocin headache fatigue
